Id,Painting_title,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Total_colors
194,Deep Forest Lake,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,13
195,Peaks of Majesty,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,11
196,Two Seasons,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
197,Nestled Cabin,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
198,Wintertime Discovery,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,11
199,Mountain Mirage Wood Shape,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
200,Double Oval Fantasy,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
201,Contemplative Lady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
202,Deep Woods,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,10
203,High Tide,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
204,Barn in Snow Oval,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,7
205,That Time of Year,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,9
206,Waterfall Wonder,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
207,Mighty Mountain Lake,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,11
208,Wooded Stream Oval,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
209,Golden Mist Oval,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,9
210,The Old Home Place,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
211,Soothing Vista,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,13
212,Stormy Seas,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,9
213,Country Time,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,13
214,A Mild Winter's Day,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,10
215,Spectacular Waterfall,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,15
216,View from the Park,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
217,Lake View,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
218,Old Country Mill,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
219,Morning Walk,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,12
220,Nature's Splendor,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,13
221,Mountain Beauty,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
222,Half-Oval Vignette,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
223,Absolutely Autumn,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
224,Mountain Seclusion,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,10
225,Crimson Oval,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
226,Autumn Exhibition,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
227,Majestic Peaks,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
228,Golden Morning Mist,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
229,Winter Lace,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,8
230,Seascape Fantasy,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
231,Double Oval Stream,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,13
232,Enchanted Forest,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
233,Southwest Serenity,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,10
234,Rippling Waters,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,12
235,Snowfall Magic,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,10
236,Quiet Mountain Lake,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,14
237,Final Embers of Sunlight,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
238,Snowy Morn,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,7
